datetime,role_1_x,role_1_y,role_2_x,role_2_y,role_3_x,role_3_y,role_4_x,role_4_y,role_5_x,role_5_y,role_6_x,role_6_y,role_7_x,role_7_y,role_8_x,role_8_y,role_9_x,role_9_y,role_10_x,role_10_y
2020-01-01 19:00:01,-58.0,-2862.6,-1574.0,-1133.6,1052.0,203.4000000000001,-547.0,49.40000000000009,922.0,-38.59999999999991,348.0,1028.4,-1389.0,642.4000000000001,-499.0,2366.4,967.0,2471.4,778.0,-2726.6
2020-01-01 19:00:02,-37.5,-2982.2,-1675.5,-1320.1999999999998,1007.5,399.8000000000002,-598.5,-30.199999999999818,1036.5,-81.19999999999982,238.5,1097.8000000000002,-1497.5,669.8000000000002,-496.5,2460.8,1149.5,2525.8,873.5,-2740.2
2020-01-01 19:00:03,-112.19999999999982,-3034.6,-1750.1999999999998,-1563.6,1237.8000000000002,-133.5999999999999,-645.1999999999998,-68.59999999999991,977.8000000000002,518.4000000000001,80.80000000000018,1173.4,-1639.1999999999998,705.4000000000001,-535.1999999999998,2553.4,1412.8000000000002,2516.4,972.8000000000002,-2666.6
2020-01-01 19:00:04,-155.10000000000036,-3033.7,-1759.1000000000004,-1731.6999999999998,1449.8999999999996,-206.69999999999982,-721.1000000000004,-21.699999999999818,963.8999999999996,549.3000000000002,-129.10000000000036,1233.3000000000002,-1724.1000000000004,732.3000000000002,-569.1000000000004,2560.3,1611.8999999999996,2538.3,1031.8999999999996,-2619.7
2020-01-01 19:00:05,-185.69999999999982,-3017.1,-1727.6999999999998,-1762.1,1671.3000000000002,-234.0999999999999,-748.6999999999998,-85.09999999999991,961.3000000000002,547.9000000000001,-332.6999999999998,1318.9,-1741.6999999999998,742.9000000000001,-624.6999999999998,2417.9,1657.3000000000002,2685.9,1071.3000000000002,-2615.1
2020-01-01 19:00:06,-157.30000000000018,-3074.1,-1727.3000000000002,-1745.1,1892.6999999999998,-245.0999999999999,-716.3000000000002,-156.0999999999999,963.6999999999998,547.9000000000001,-508.3000000000002,1352.9,-1700.3000000000002,698.9000000000001,-646.3000000000002,2347.9,1479.6999999999998,2893.9,1119.6999999999998,-2621.1
2020-01-01 19:00:07,-78.0,-3181.1,-1746.0,-1706.1,2061.0,-227.0999999999999,-728.0,-252.0999999999999,831.0,585.9000000000001,-643.0,1261.9,-1639.0,650.9000000000001,-598.0,2399.9,1361.0,3015.9,1179.0,-2548.1
2020-01-01 19:00:08,-22.899999999999636,-3265.0,-1722.8999999999996,-1756.0,2087.1000000000004,-170.0,-816.8999999999996,-396.0,674.1000000000004,543.0,-691.8999999999996,1235.0,-1636.8999999999996,670.0,-535.8999999999996,2481.0,1447.1000000000004,2992.0,1219.1000000000004,-2334.0
2020-01-01 19:00:09,-48.69999999999982,-3252.7,-1642.6999999999998,-1907.6999999999998,1996.3000000000002,-140.69999999999982,-926.6999999999998,-447.6999999999998,661.3000000000002,400.3000000000002,-665.6999999999998,1227.3000000000002,-1670.6999999999998,698.3000000000002,-479.6999999999998,2555.3,1547.3000000000002,2876.3,1229.3000000000002,-2008.6999999999998
2020-01-01 19:00:10,-122.60000000000036,-3174.8,-1541.6000000000004,-2045.8000000000002,1926.3999999999996,-140.80000000000018,-1034.6000000000004,-442.8000000000002,740.3999999999996,190.19999999999982,-683.6000000000004,1195.1999999999998,-1707.6000000000004,696.1999999999998,-373.60000000000036,2631.2,1607.3999999999996,2743.2,1189.3999999999996,-1651.8000000000002
2020-01-01 19:00:11,-84.30000000000018,-3122.2,-1451.3000000000002,-2112.2,1877.6999999999998,-159.19999999999982,-1061.3000000000002,-534.1999999999998,868.6999999999998,-23.199999999999818,-772.3000000000002,1153.8000000000002,-1713.3000000000002,651.8000000000002,-268.3000000000002,2685.8,1470.6999999999998,2854.8,1133.6999999999998,-1395.1999999999998
2020-01-01 19:00:12,-1435.1999999999998,-2132.0,-1053.1999999999998,-661.0,1753.8000000000002,-40.0,1115.8000000000002,-1286.0,1032.8000000000002,-43.0,-720.1999999999998,1054.0,-1712.1999999999998,558.0,-219.19999999999982,2657.0,1238.8000000000002,3027.0,-1.199999999999818,-3134.0
2020-01-01 19:00:13,-1388.1999999999998,-2285.9,-1162.1999999999998,-663.9000000000001,1775.8000000000002,274.0999999999999,1117.8000000000002,-1278.9,1107.8000000000002,103.09999999999991,-683.1999999999998,917.0999999999999,-1711.1999999999998,454.0999999999999,-213.19999999999982,2567.1,1060.8000000000002,3107.1,95.80000000000018,-3193.9
2020-01-01 19:00:14,-1395.3000000000002,-2411.0,-1370.3000000000002,-619.0,1961.6999999999998,474.0,1109.6999999999998,-1329.0,1099.6999999999998,200.0,-628.3000000000002,881.0,-1739.3000000000002,449.0,-219.30000000000018,2500.0,971.6999999999998,3141.0,209.69999999999982,-3286.0
2020-01-01 19:00:15,-1431.0,-2482.9,-1465.0,-666.9000000000001,2037.0,424.0999999999999,1055.0,-1353.9,1072.0,137.0999999999999,-479.0,999.0999999999999,-1845.0,544.0999999999999,-191.0,2570.1,1006.0,3146.1,241.0,-3316.9
2020-01-01 19:00:16,-1441.0,-2488.1,-1423.0,-704.0999999999999,1935.0,315.9000000000001,1021.0,-1366.1,1030.0,-3.099999999999909,-343.0,1097.9,-1905.0,634.9000000000001,-157.0,2708.9,1129.0,3051.9,154.0,-3248.1
2020-01-01 19:00:17,-1557.5,-2386.5,-1350.5,-614.5,1812.5,175.5,1037.5,-1406.5,1026.5,-214.5,-270.5,1153.5,-1930.5,637.5,-126.5,2843.5,1256.5,2881.5,102.5,-3069.5
